,occurrence_no,record_type,reid_no,flags,collection_no,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,lng,lat,age
5853,24410,occ,,,1744,Isognomon (Mulletia) mulleti,species,366377.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5854,24411,occ,,,1744,Isognomon,genus,16730.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5855,24412,occ,,,1744,Gervillella sublanceolata,species,267366.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5856,24413,occ,,,1744,Gervillaria alaeformis,species,323266.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5857,24414,occ,,,1744,Exogyra,genus,16655.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5858,24415,occ,,,1744,Prohinnites,genus,16953.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5859,24416,occ,,,1744,Sphaera corrugata,species,323162.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5860,24417,occ,,,1744,Protocardia,genus,61928.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5861,24418,occ,,,1744,Astarte obovata,species,58880.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5862,24419,occ,,,1744,Venilicardia,genus,18388.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5863,24420,occ,,,1744,Noramya,genus,16280.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5864,24421,occ,,F,1744,Yaadia,genus,17292.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5865,24422,occ,,,1744,Cymatoceras radiatum,species,313348.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5866,24423,occ,,,1744,Hanaispira munitus,species,359904.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5867,24424,occ,,,1744,Globularia,genus,9901.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5868,24425,occ,,,1744,Sulcirhynchia,genus,28953.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5869,24426,occ,,,1744,Sellithyris sella,species,287295.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
