,record_type,reid_no,flags,collection_no,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,lng,lat,age,lat_paleo,lon_paleo
0,occ,,,1295,Nucula,genus,16082.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
1,occ,,,1295,Malletia,genus,16071.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
2,occ,,,1295,Nuculana,genus,16083.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
3,occ,,,1295,Nemodon,genus,16275.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
4,occ,,,1295,Striarca,genus,16314.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
5,occ,,,1295,Striarca,genus,16314.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
6,occ,,,1295,Idonearca capax,species,59942.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
7,occ,,,1295,Glycymerita,genus,16244.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
8,occ,,,1295,Glycymeris,genus,16243.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
9,occ,,,1295,Lycettia,genus,16371.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
10,occ,,,1295,Crenella elegantula,species,130052.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
11,occ,,,1295,Pinna,genus,16400.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
12,occ,,,1295,Tenuipteria argentea,species,62474.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
13,occ,,,1295,Syncyclonema,genus,17060.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
14,occ,,,1295,Camptonectes bubonis,species,61647.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
15,occ,,,1295,Anomia ornata,species,59133.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
16,occ,,,1295,Limatula acutilineata,species,60835.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
17,occ,,,1295,Gryphaeostrea vomer,species,102919.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
18,occ,,,1295,Ambigostrea,genus,16457.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
19,occ,,,1295,Pterotrigonia (Scabrotrigonia),subgenus,17274.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
20,occ,,,1295,Pterotrigonia (Scabrotrigonia),subgenus,17274.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
21,occ,,,1295,Clisocolus,genus,17486.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
22,occ,,,1295,Crassatella vadosa,species,59898.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
23,occ,,,1295,Scambula perplana,species,62183.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
24,occ,,,1295,Granocardium,genus,17710.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
25,occ,,,1295,Granocardium,genus,17710.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
26,occ,,,1295,Cymbophora,genus,17556.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
27,occ,,,1295,Cymbophora,genus,17556.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
28,occ,,,1295,Leptosolen biplicata,species,60826.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
29,occ,,,1295,Tellinimera,genus,18319.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
30,occ,,,1295,Aenona eufaulensis,species,58999.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
31,occ,,,1295,Linearis,genus,60879.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
32,occ,,,1295,Liothyris,genus,17821.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
33,occ,,,1295,Veniella conradi,species,62781.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
34,occ,,,1295,Tenea,genus,18327.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
35,occ,,,1295,Aphrodina,genus,17349.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
36,occ,,,1295,Cyprimeria,genus,17559.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
37,occ,,,1295,Caestocorbula crassiplica,species,59443.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
38,occ,,,1295,Eufistulana,genus,60309.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
39,occ,,,1295,Clavipholas,genus,18439.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
40,occ,,,1295,Opertochasma,genus,18479.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
41,occ,,,1295,Anatimya anteradiata,species,59102.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
42,occ,,,1295,Liopistha protexta,species,60897.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
43,occ,,,1295,Brevicardium fragile,species,61929.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
44,occ,,,1295,Camptonectes,genus,16531.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
45,occ,,,1295,Crenella serica,species,377026.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
46,occ,,,1295,Cymella,genus,18729.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
47,occ,,,1295,Eufistulana,genus,60309.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
48,occ,,F,1295,Exogyra (Exogyra) costata,species,354151.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
49,occ,,,1295,Gryphaeostrea vomer,species,102919.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
50,occ,,,1295,Juliacorbula,genus,18465.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
51,occ,,,1295,Legumen,genus,17802.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
52,occ,,,1295,Nucula,genus,16082.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
53,occ,,,1295,Protocardia (Pachycardium),subgenus,18006.0,Maastrichtian,,72.1,66.0,40,-89.866669,37.0,70,40.87542361064039,-65.34984741013085
